"","id","vacc_type","age_lower","age_upper","sex","omit_prev_tests","notes","title","Vacc.Status","Person.Years","Events","Rate","OR_AGE","OR_LCL_AGE","OR_UCL_AGE","OR_ADJ","OR_LCL_ADJ","OR_UCL_ADJ","OR_ADJ2","OR_LCL_ADJ2","OR_UCL_ADJ2"
"1",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","uv",1129392,9951,3.21819305942075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_0:6",39225,213,1.98336701606365,0.336092204400515,0.291895648417927,0.386980657200714,0.327220999219744,0.28360793348919,0.377540857242799,0.619929975855449,0.538010984410958,0.714322172036883
"3",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_7:13",43147,409,3.46226131900576,0.535264441743836,0.481474557071808,0.595063681740114,0.560964610712309,0.502595896588558,0.626111945217932,0.869455943894282,0.781712855030441,0.96704772539996
"4",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_14:20",39017,347,3.2484084060649,0.450115780734982,0.400073985371367,0.506416871565883,0.50807303642715,0.449335855782507,0.574488341008895,0.72943663771533,0.648098133612646,0.820983398726243
"5",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_21:27",34365,224,2.38079828940229,0.296666776554125,0.255674904335336,0.344230797855631,0.367460428521237,0.314991836783256,0.428668780460881,0.479031161006925,0.412737934550261,0.555972286544694
"6",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_28:34",31709,156,1.79691910287914,0.196418737046217,0.163234990102683,0.236348348099646,0.28054232382004,0.231812080493692,0.339516367252007,0.313940112348293,0.260857860126987,0.377824130326301
"7",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_35:41",28852,115,1.45583872802599,0.153574345921757,0.12414958107669,0.189973091497798,0.269603210301884,0.216510726582415,0.335714965038529,0.244694307594683,0.197785837947735,0.302727964704244
"8",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_42+",94936,179,0.688673961613338,0.0542340619776688,0.0448377584166244,0.0655994764784466,0.177414719824656,0.144952667326338,0.217146627178635,0.0325938533487936,0.0269355786680323,0.0394407444969242
"9",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","uv",728207,579,0.290411588912489,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_0:6",12394,9,0.265225619543286,0.53305670762657,0.275149136096822,1.032710687653,0.363237514135305,0.186297793303807,0.708228956099502,0.725282635992349,0.373844089805373,1.40709701294427
"11",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_7:13",14435,25,0.632576249255493,1.2708847245236,0.847491390048807,1.90579869246154,0.557823063238248,0.367140404409123,0.847541066424695,1.64220502300483,1.09347590298869,2.46629791311479
"12",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_14:20",14401,18,0.456524313770834,0.916512312686729,0.570974759335966,1.47115928606595,0.271838144214179,0.166963760413477,0.442586921058852,1.17473335792011,0.730970274865158,1.88789956262562
"13",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_21:27",14356,18,0.457972150626909,0.919023904946942,0.572529343444957,1.47521685575427,0.244988312972379,0.150181552496931,0.399644779902503,1.17515512763646,0.731204917571992,1.88864918824112
"14",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_28:34",14243,7,0.179504916299823,0.360022881715945,0.170419169238187,0.760574505429574,0.0941994931020433,0.0441154839826497,0.201143537361436,0.457527783606944,0.216417694518156,0.967257659954053
"15",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_35:41",13888,11,0.289299851831082,0.580201333056052,0.318443038450729,1.05712339801112,0.16815241510309,0.0912867573455913,0.309740815942865,0.723341954101453,0.396737538691442,1.31881541708671
"16",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_42+",55377,16,0.105531414739911,0.217869412387522,0.132293108235678,0.358802370638402,0.0812463477153243,0.0484054494808393,0.136368303318664,0.174634389228658,0.105876132167982,0.288045750036278
"17",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","uv",982526,777,0.2888466883555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_0:6",25571,33,0.471365222388148,1.01107880496806,0.711787341860637,1.43621597313513,0.581449961796744,0.407815350407274,0.829012585563047,1.43654233600841,1.01028999997078,2.04263516733233
"19",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_7:13",27352,58,0.774501986951028,1.6153970201408,1.23228508371105,2.11761674889482,0.806437848915672,0.610123777480599,1.06591814344494,2.10841319081214,1.60803580099028,2.7644945345452
"20",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_14:20",23402,83,1.2954107292109,2.57701622985062,2.04306411180833,3.25051603154807,0.960452303720376,0.75028224776437,1.22949547383065,3.34854454504122,2.65530158310188,4.22277855046008
"21",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_21:27",18945,77,1.4845502711766,2.75160787339211,2.16089148066265,3.50380662641681,0.76222834851279,0.587220924656307,0.989392630408365,3.54691357421513,2.78761808585971,4.51302707740601
"22",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_28:34",16498,47,1.04052175815811,1.81672775963847,1.34364441992509,2.456378863111,0.408242555625743,0.296014379518891,0.563019892799504,2.31906276943661,1.7167797001847,3.13263963221863
"23",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_35:41",14101,51,1.32097812730785,2.14001671410452,1.59721512959126,2.8672853467264,0.460225871673505,0.334890292293744,0.632469372303733,2.7547111790514,2.05824121223592,3.6868534333482
"24",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_42+",35676,47,0.481189788112,0.626207479017294,0.460255621169517,0.851995692699574,0.238789049708864,0.16924217988248,0.336914889068768,0.343746222776417,0.251973587562175,0.468943855648749
