"","id","vacc_type","age_lower","age_upper","sex","omit_prev_tests","notes","title","Vacc.Status","Person.Years","Events","Rate","OR_AGE","OR_LCL_AGE","OR_UCL_AGE","OR_FULLADJ","OR_LCL_FULLADJ","OR_UCL_FULLADJ","OR_ADJ2","OR_LCL_ADJ2","OR_UCL_ADJ2"
"1",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","uv",1185617,9757,3.00581296987322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_0:13",88492,587,2.42284948689622,0.457644075538822,0.420891998300009,0.497605325645789,0.454864110466293,0.416826261328456,0.496373137169626,0.628827567271009,0.578112539842271,0.683991579680766
"3",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_14:20",44899,307,2.49741700197511,0.456975648185854,0.407759104066145,0.512132631626065,0.517653333232603,0.459839444409422,0.582735945479786,0.685507836151184,0.611367186953839,0.768639540120036
"4",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_21:27",41487,190,1.67277196108639,0.293456039430438,0.254128112991622,0.33887021024328,0.366894038672553,0.316232399026499,0.425671866727914,0.439600984505713,0.38053958175928,0.507828974544457
"5",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_28:34",36943,130,1.28529039061482,0.212402989925387,0.17859367741765,0.252612694814165,0.290379699759171,0.242928557910363,0.347099454907807,0.321082437588676,0.269888737276368,0.381986787475008
"6",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_35:41",33024,98,1.08389238198625,0.168834928759816,0.13832348309407,0.206076600528823,0.257696313391843,0.209929842976821,0.316331346673179,0.255280545248794,0.209092455139144,0.311671488763927
"7",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_42:47",30602,54,0.644520774209116,0.095830043381832,0.073319768900158,0.125251311512849,0.164887352120582,0.125462484396055,0.21670094467053,0.145408012891364,0.111230558817313,0.190087062744525
"8",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_49:55",27517,57,0.75660795760472,0.105479948377182,0.081272705676816,0.136897368150829,0.203495691996115,0.155627832464933,0.266086701877755,0.161044449306142,0.124059776197705,0.209054985001645
"9",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_56:62",24603,42,0.623509689252117,0.0823273812690174,0.0607815719921723,0.111510734001533,0.177650148797717,0.130092438112214,0.242593465276042,0.124203627676751,0.0916835550539723,0.168258540138236
"10",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_63:69",19790,23,0.424485505487575,0.052135540964862,0.0346186801094576,0.0785158366264875,0.121576174786411,0.0801403927968535,0.184435910030583,0.0786966842421357,0.0522506439477475,0.118528072436768
"11",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_70+",39334,30,0.278572493159982,0.0386219285970885,0.0269763816077014,0.0552947904671082,0.0849147587797446,0.0585622017465612,0.123125771292327,0.00638401648706984,0.00445336043899864,0.00915166581853042
"12",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","uv",779828,5667,2.6542671846676,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_0:13",28512,168,2.15217901099809,0.383891306325964,0.328985800753245,0.447960169512579,0.281249934922009,0.240500258066321,0.328904120642653,0.521624367906057,0.446704696910511,0.609109290937011
"14",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_14:20",15070,91,2.20554363000226,0.390017192141815,0.316841197684365,0.480093533536379,0.311191326263616,0.252141193807628,0.38407068705954,0.549808736128561,0.446355739702931,0.677239294658722
"15",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_21:27",15039,58,1.40864961584007,0.249094096400764,0.192213761298776,0.322806590134129,0.225863839772836,0.17382725737257,0.293477990092131,0.351401199446398,0.271013246687022,0.455633827799459
"16",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_28:34",14992,55,1.33997229169111,0.236863574083836,0.181523168113409,0.309075438198152,0.238497366727187,0.18216652293336,0.312247239612794,0.332646248053801,0.254794982514688,0.434284557930382
"17",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_35:41",14928,35,0.856365762081326,0.151237222566396,0.108429206821189,0.210945908027502,0.175396225177997,0.125328044071164,0.245466495824528,0.211902902181421,0.151860609410863,0.295684576317109
"18",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_42:47",14729,26,0.644757345588899,0.113362696575872,0.0770883239123708,0.166706192620837,0.151551068180478,0.102671251975231,0.2237016284966,0.157890673772478,0.107330562050605,0.232268092033032
"19",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_49:55",14084,23,0.596457931095754,0.103340105048638,0.0685899354680485,0.155695981321315,0.157398646898506,0.104011981977262,0.238187308563127,0.145215945296209,0.0963504504477845,0.218864267580145
"20",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_56:62",13204,21,0.580896355705036,0.0994836702792264,0.0647898368414001,0.152755449538372,0.169470988671744,0.109816858966336,0.261530117248959,0.138421990613001,0.0901191214084735,0.212614672511268
"21",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_63:69",11174,10,0.32687467021123,0.0558901210804909,0.0300502854373452,0.103949283307304,0.100380472909107,0.0537312467453493,0.187530346898718,0.0786509596737382,0.0422781623753734,0.146316043792936
"22",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_70+",28532,17,0.21762298889894,0.0467581255167765,0.0290399121590125,0.075286808371564,0.0664602997815947,0.0408950139496099,0.108007578931308,0.0184018847560234,0.0114179882410001,0.0296575329582147
"23",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","uv",1060481,8919,3.07187607420016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_0:13",59980,419,2.55151304170618,0.401263208554064,0.363636993838474,0.442782679615439,0.434505420404565,0.391816200915029,0.481845722356668,0.558298518920622,0.505773645005385,0.616278130161648
"25",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_14:20",29829,216,2.64487617994551,0.396260946107248,0.346093903313669,0.453699807787426,0.514584186100556,0.446666809955596,0.592828655908182,0.603550707337241,0.526885634763351,0.691371015440374
"26",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_21:27",26448,132,1.82295925337439,0.253356760921855,0.213272572254076,0.300974699307999,0.370876037766783,0.310165290393513,0.443470109808472,0.385834182259943,0.324671237426541,0.458519262070086
"27",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_28:34",21951,75,1.24794436110181,0.154513120500884,0.123056225203111,0.1940113502386,0.2522130322085,0.199592034465609,0.318707175795469,0.239300680656543,0.190529072641737,0.300556838747455
"28",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_35:41",18096,63,1.27158429951279,0.139070908305862,0.108499513158903,0.178256261009135,0.25673587219824,0.198800140974968,0.331555640504755,0.216330456672536,0.168733778203302,0.277353277941547
"29",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_42:47",15873,28,0.644301256172836,0.06408260278564,0.0442060093714331,0.092896419246472,0.133923849371523,0.0917896417085527,0.195398926247419,0.100702125672964,0.0694550034703023,0.14600702049334
"30",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_49:55",13432,34,0.924534449010335,0.0813882847753301,0.0580922267118345,0.114026493278158,0.19163235450518,0.135517025540408,0.270984100682234,0.128348922763608,0.0915925115560437,0.179855816755267
"31",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_56:62",11399,21,0.672870016924889,0.0535662990835764,0.0348946990977405,0.0822287760520323,0.141119168738828,0.0910652706207471,0.218685121669213,0.0835521494977921,0.0544201379026705,0.128279014988656
"32",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_63:69",8616,13,0.551069873604038,0.0385320939556903,0.0223566641531815,0.0664107245355231,0.111629990814366,0.0641340392126028,0.194300171986776,0.0596088901295608,0.0345819719846233,0.102747749146809
"33",17,"AZ",18,110,"B","all","","All Ages,  AZ Vaccine, Omit individuals previously positive","v1_70+",10802,13,0.439558225392006,0.0240876231574217,0.0139722034765277,0.0415262768215962,0.082360169097754,0.0469698124874816,0.144416106741292,0.00389561190030794,0.00225796096568504,0.00672101613289697
