"","id","est","lwr","upr"
"1","period15:21:vacc_typePB",0,0,1.09623146560172e+244
"2","period22:28:vacc_typePB",0,0,1.24025438165236e+157
"3","period29:35:vacc_typePB",0,0,1.14327612649681e+119
"4","period36:42:vacc_typePB",0,0,2.55703088928529e+105
"5","period43+:vacc_typePB",0,0,5.31875408602711e+156
"6","period0:14:vaccvacc:vacc_typePB",0.48,0.413,0.558
"7","period15:21:vaccvacc:vacc_typePB",0.554,0.419,0.733
"8","period22:28:vaccvacc:vacc_typePB",0.458,0.329,0.637
"9","period29:35:vaccvacc:vacc_typePB",0.323,0.211,0.495
"10","period36:42:vaccvacc:vacc_typePB",0.441,0.278,0.699
"11","period43+:vaccvacc:vacc_typePB",0.216,0.133,0.351
"12","period15:21:vacc_typeAZ",0,0,Inf
"13","period22:28:vacc_typeAZ",0,0,Inf
"14","period29:35:vacc_typeAZ",0,0,Inf
"15","period36:42:vacc_typeAZ",0,0,Inf
"16","period43+:vacc_typeAZ",0,0,Inf
"17","period0:14:vaccvacc:vacc_typeAZ",0.562,0.511,0.618
"18","period15:21:vaccvacc:vacc_typeAZ",0.67,0.524,0.855
"19","period22:28:vaccvacc:vacc_typeAZ",0.382,0.254,0.573
"20","period29:35:vaccvacc:vacc_typeAZ",0.512,0.306,0.855
"21","period36:42:vaccvacc:vacc_typeAZ",0.932,0.45,1.93
"22","period43+:vaccvacc:vacc_typeAZ",0.537,0.266,1.086
