"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","v1","-1+ thru  13","60657.80",144,2,NA
"2","v2","-1+ thru  13","60685.80",134,2,NA
"3","v1","13+ thru  20","22340.00",59,3,NA
"4","v2","13+ thru  20","22376.10",18,1,NA
"5","v1","20+ thru  27","19459.50",53,3,NA
"6","v2","20+ thru  27","19505.20",20,1,NA
"7","v1","27+ thru  34","16957.80",49,3,NA
"8","v2","27+ thru  34","17010.20",17,1,NA
"9","v1","34+ thru  41","15390.20",38,2,NA
"10","v2","34+ thru  41","15447.40",19,1,NA
"11","v1","41+ thru  48","13966.10",32,2,NA
"12","v2","41+ thru  48","14026.30",17,1,NA
"13","v1","48+ thru  55","12817.60",27,2,NA
"14","v2","48+ thru  55","12878.90",15,1,NA
"15","v1","55+ thru  62","11024.60",24,2,NA
"16","v2","55+ thru  62","11082.10",20,2,NA
"17","v1","62+ thru  69","9213.10",19,2,NA
"18","v2","62+ thru  69","9261.40",20,2,NA
"19","v1","69+ thru  76","7867.30",18,2,NA
"20","v2","69+ thru  76","7901.40",16,2,NA
"21","v1","76+ thru  83","7017.90",23,3,NA
"22","v2","76+ thru  83","7040.30",20,3,NA
"23","v1","83+ thru 183","18213.80",37,2,NA
"24","v2","83+ thru 183","18241.40",24,1,NA
