"vacc_type","Subgroup","z.yr","n_v1","event_v1","n_v2","event_v2"
"AZ","18-64",1,616606,4,616606,4
"AZ","18-64",2,560427,2,560434,2
"AZ","18-64",3,521072,4,521088,3
"AZ","18-64",4,488147,3,488170,2
"AZ","18-64",5,460726,4,460757,5
"AZ","18-64",6,436645,4,436676,1
"AZ","18-64",7,415722,0,415768,3
"AZ","18-64",8,395896,2,395945,1
"AZ","18-64",9,380017,1,380072,3
"AZ","18-64",10,366356,1,366408,2
"AZ","18-64",11,353085,3,353138,2
"AZ","18-64",12,340868,4,340929,6
"AZ","18-64",13,329377,0,329445,1
"AZ","18-64",14,318814,0,318875,1
"AZ","18-64",15,308468,1,308523,1
"AZ","18-64",16,299652,1,299712,1
"AZ","18-64",17,291480,1,291535,2
"AZ","18-64",18,284432,1,284480,2
"AZ","18-64",19,277861,1,277912,0
"AZ","18-64",20,271351,1,271404,0
"AZ","18-64",21,265323,3,265370,2
"AZ","18-64",22,259677,2,259723,1
"AZ","18-64",23,244366,3,244413,2
"AZ","18-64",24,231625,1,231670,1
"AZ","18-64",25,223819,2,223863,0
"AZ","18-64",26,214747,2,214788,3
"AZ","18-64",27,205928,2,205967,2
"AZ","18-64",28,198055,3,198096,0
"AZ","18-64",29,190535,5,190576,0
"AZ","18-64",30,183431,0,183472,0
"AZ","18-64",31,176578,1,176613,0
"AZ","18-64",32,171596,1,171634,1
"AZ","18-64",33,166015,1,166055,2
"AZ","18-64",34,160194,1,160228,2
"AZ","18-64",35,154688,1,154711,2
"AZ","18-64",36,149621,1,149639,1
"AZ","18-64",37,144547,1,144557,0
"AZ","18-64",38,140230,1,140240,1
"AZ","18-64",39,136954,1,136954,1
"AZ","18-64",40,131771,0,131762,0
"AZ","18-64",41,125998,0,125975,0
"AZ","18-64",42,120755,1,120727,0
"AZ","18-64",43,114826,1,114797,0
"AZ","18-64",44,109289,0,109258,1
"AZ","18-64",45,103994,0,103951,0
"AZ","18-64",46,101420,1,101372,0
"AZ","18-64",47,98233,0,98181,0
"AZ","18-64",48,95111,1,95053,1
"AZ","18-64",49,92242,0,92173,1
"AZ","18-64",50,89634,0,89559,0
"AZ","18-64",51,87399,2,87321,0
"AZ","18-64",52,85416,0,85336,0
"AZ","18-64",53,84083,1,83997,0
"AZ","18-64",54,78500,2,78416,2
"AZ","18-64",55,75455,0,75373,0
"AZ","18-64",56,71531,0,71450,0
"AZ","18-64",57,67347,1,67265,0
"AZ","18-64",58,63565,0,63488,0
"AZ","18-64",59,61701,0,61623,1
"AZ","18-64",60,59513,0,59434,0
"AZ","18-64",61,56056,0,55971,0
"AZ","18-64",62,51542,0,51459,1
"AZ","18-64",63,46473,0,46390,1
"AZ","18-64",64,41507,0,41439,1
"AZ","18-64",65,38354,1,38284,0
"AZ","18-64",66,35721,0,35657,1
"AZ","18-64",67,34672,1,34610,0
"AZ","18-64",68,30711,0,30654,1
"AZ","18-64",69,28302,0,28247,0
"AZ","18-64",70,25780,0,25728,0
"AZ","18-64",71,23112,1,23066,0
"AZ","18-64",72,21373,0,21329,0
"AZ","18-64",73,19756,0,19710,0
"AZ","18-64",74,19097,0,19053,2
"AZ","18-64",75,17005,1,16967,0
"AZ","18-64",76,15028,0,15001,0
"AZ","18-64",77,13563,0,13541,0
"AZ","18-64",78,12217,0,12200,0
"AZ","18-64",79,11345,1,11326,1
"AZ","18-64",80,10641,0,10624,0
"AZ","18-64",81,10342,0,10327,0
"AZ","18-64",82,9226,0,9214,0
"AZ","18-64",83,8663,0,8651,1
"AZ","18-64",84,7740,0,7727,0
"AZ","18-64",85,7123,0,7112,0
"AZ","18-64",86,6654,0,6643,0
"AZ","18-64",87,6576,0,6566,0
"AZ","18-64",88,6555,0,6544,0
"AZ","18-64",89,6459,0,6449,0
"AZ","18-64",90,6233,0,6223,0
"PB","18-64",1,309855,4,309854,0
"PB","18-64",2,291632,3,291640,3
"PB","18-64",3,279236,3,279247,0
"PB","18-64",4,268809,3,268824,1
"PB","18-64",5,259994,0,260011,1
"PB","18-64",6,252259,3,252276,0
"PB","18-64",7,245233,5,245258,0
"PB","18-64",8,238569,2,238601,1
"PB","18-64",9,232363,3,232398,0
"PB","18-64",10,226725,1,226764,0
"PB","18-64",11,223065,1,223103,0
"PB","18-64",12,219853,3,219892,1
"PB","18-64",13,216523,0,216566,0
"PB","18-64",14,213310,1,213355,0
"PB","18-64",15,210397,0,210445,0
"PB","18-64",16,207763,0,207811,0
"PB","18-64",17,205614,0,205662,0
"PB","18-64",18,204081,0,204129,0
"PB","18-64",19,202282,2,202332,0
"PB","18-64",20,201070,1,201125,1
"PB","18-64",21,199983,0,200037,2
"PB","18-64",22,199008,0,199063,0
"PB","18-64",23,197763,2,197819,0
"PB","18-64",24,196800,0,196860,0
"PB","18-64",25,196178,1,196237,0
"PB","18-64",26,195646,1,195707,0
"PB","18-64",27,195209,1,195273,0
"PB","18-64",28,194774,2,194839,0
"PB","18-64",29,194381,1,194448,0
"PB","18-64",30,194029,0,194101,0
"PB","18-64",31,193884,1,193957,0
"PB","18-64",32,193693,0,193769,0
"PB","18-64",33,193453,0,193527,0
"PB","18-64",34,193282,1,193356,0
"PB","18-64",35,193080,0,193155,0
"PB","18-64",36,192775,2,192850,0
"PB","18-64",37,192497,0,192576,0
"PB","18-64",38,192339,0,192421,0
"PB","18-64",39,191940,1,192022,0
"PB","18-64",40,191543,2,191628,0
"PB","18-64",41,191235,0,191323,0
"PB","18-64",42,190867,0,190953,0
"PB","18-64",43,190291,3,190377,0
"PB","18-64",44,189334,0,189421,0
"PB","18-64",45,188426,0,188512,0
"PB","18-64",46,188011,0,188097,0
"PB","18-64",47,187497,0,187582,0
"PB","18-64",48,186602,0,186687,0
"PB","18-64",49,185675,1,185760,0
"PB","18-64",50,184326,0,184414,0
"PB","18-64",51,182979,1,183065,0
"PB","18-64",52,181959,1,182047,0
"PB","18-64",53,180974,0,181062,0
"PB","18-64",54,178921,0,179007,0
"PB","18-64",55,177230,2,177312,0
"PB","18-64",56,175655,0,175740,0
"PB","18-64",57,174050,0,174130,0
"PB","18-64",58,172349,0,172428,0
"PB","18-64",59,171109,2,171186,2
"PB","18-64",60,170231,0,170307,1
"PB","18-64",61,169446,0,169520,0
"PB","18-64",62,168495,1,168569,0
"PB","18-64",63,167474,0,167549,1
"PB","18-64",64,166311,2,166383,0
"PB","18-64",65,165209,0,165282,0
"PB","18-64",66,164003,1,164077,0
"PB","18-64",67,163187,0,163262,0
"PB","18-64",68,162462,2,162538,0
"PB","18-64",69,161412,1,161489,0
"PB","18-64",70,160311,0,160389,0
"PB","18-64",71,159186,0,159263,0
"PB","18-64",72,157658,1,157737,1
"PB","18-64",73,156747,0,156825,1
"PB","18-64",74,156337,0,156413,0
"PB","18-64",75,155643,0,155717,0
"PB","18-64",76,154193,0,154266,0
"PB","18-64",77,152889,0,152961,1
"PB","18-64",78,151209,0,151279,0
"PB","18-64",79,149293,0,149361,0
"PB","18-64",80,147819,0,147887,0
"PB","18-64",81,146159,1,146227,0
"PB","18-64",82,145151,0,145220,0
"PB","18-64",83,143190,1,143258,0
"PB","18-64",84,140294,0,140359,0
"PB","18-64",85,136672,1,136738,0
"PB","18-64",86,133192,1,133261,0
"PB","18-64",87,131714,0,131782,0
"PB","18-64",88,130731,0,130798,1
"PB","18-64",89,127808,0,127875,1
"PB","18-64",90,125050,0,125119,0
"AZ","65-79",1,179928,1,179926,6
"AZ","65-79",2,154005,1,154029,3
"AZ","65-79",3,136121,2,136172,3
"AZ","65-79",4,121748,1,121816,2
"AZ","65-79",5,109810,1,109906,2
"AZ","65-79",6,99203,0,99316,0
"AZ","65-79",7,90187,0,90315,1
"AZ","65-79",8,81727,0,81873,0
"AZ","65-79",9,75614,3,75785,0
"AZ","65-79",10,70506,1,70700,0
"AZ","65-79",11,66193,0,66398,1
"AZ","65-79",12,62606,0,62826,0
"AZ","65-79",13,59463,0,59690,0
"AZ","65-79",14,57023,0,57263,0
"AZ","65-79",15,54782,1,55046,1
"AZ","65-79",16,53165,1,53443,0
"AZ","65-79",17,52084,0,52363,1
"AZ","65-79",18,51078,1,51365,0
"AZ","65-79",19,50333,0,50623,0
"AZ","65-79",20,49691,0,50000,1
"AZ","65-79",21,49146,1,49456,0
"AZ","65-79",22,48712,1,49034,0
"AZ","65-79",23,48367,0,48693,0
"AZ","65-79",24,48137,0,48472,0
"AZ","65-79",25,47947,0,48295,0
"AZ","65-79",26,47769,1,48121,0
"AZ","65-79",27,47591,0,47947,0
"AZ","65-79",28,47460,0,47825,0
"AZ","65-79",29,47370,0,47740,0
"AZ","65-79",30,47294,1,47679,0
"AZ","65-79",31,47241,0,47633,0
"AZ","65-79",32,47214,1,47605,0
"AZ","65-79",33,47154,0,47559,0
"AZ","65-79",34,47084,0,47493,0
"AZ","65-79",35,47013,0,47425,0
"AZ","65-79",36,46949,1,47369,0
"AZ","65-79",37,46877,0,47307,0
"AZ","65-79",38,46797,0,47228,0
"AZ","65-79",39,46752,0,47188,0
"AZ","65-79",40,46693,0,47133,1
"AZ","65-79",41,46621,0,47067,0
"AZ","65-79",42,46526,1,46975,1
"AZ","65-79",43,46406,0,46855,1
"AZ","65-79",44,46313,0,46764,0
"AZ","65-79",45,46226,2,46675,0
"AZ","65-79",46,46126,0,46578,0
"AZ","65-79",47,46054,1,46505,1
"AZ","65-79",48,45947,0,46396,0
"AZ","65-79",49,45724,0,46163,0
"AZ","65-79",50,45620,0,46059,1
"AZ","65-79",51,45483,0,45922,0
"AZ","65-79",52,45377,0,45817,0
"AZ","65-79",53,45313,0,45755,0
"AZ","65-79",54,44537,0,44973,1
"AZ","65-79",55,43695,1,44122,1
"AZ","65-79",56,42563,1,42992,0
"AZ","65-79",57,41338,0,41766,0
"AZ","65-79",58,40406,0,40831,0
"AZ","65-79",59,39813,1,40237,0
"AZ","65-79",60,38986,0,39400,0
"AZ","65-79",61,37800,1,38193,0
"AZ","65-79",62,36371,1,36744,1
"AZ","65-79",63,35060,0,35418,0
"AZ","65-79",64,33975,1,34321,2
"AZ","65-79",65,32846,0,33178,2
"AZ","65-79",66,32048,0,32361,0
"AZ","65-79",67,31619,1,31914,0
"AZ","65-79",68,30477,0,30728,1
"AZ","65-79",69,29814,0,30031,0
"AZ","65-79",70,29034,1,29233,1
"AZ","65-79",71,28335,1,28517,0
"AZ","65-79",72,27781,0,27962,0
"AZ","65-79",73,27329,1,27496,1
"AZ","65-79",74,27096,1,27257,0
"AZ","65-79",75,26496,0,26645,0
"AZ","65-79",76,26168,1,26306,0
"AZ","65-79",77,25851,0,25972,0
"AZ","65-79",78,25402,0,25507,0
"AZ","65-79",79,25142,0,25235,0
"AZ","65-79",80,24981,0,25063,0
"AZ","65-79",81,24941,1,25018,0
"AZ","65-79",82,24685,0,24737,2
"AZ","65-79",83,24570,0,24613,0
"AZ","65-79",84,20463,0,20496,0
"AZ","65-79",85,17482,0,17510,0
"AZ","65-79",86,15838,0,15864,0
"AZ","65-79",87,15246,0,15267,1
"AZ","65-79",88,15208,0,15229,0
"AZ","65-79",89,14721,0,14745,0
"AZ","65-79",90,13770,0,13801,2
"PB","65-79",1,150279,1,150277,2
"PB","65-79",2,120257,0,120267,0
"PB","65-79",3,101513,1,101528,1
"PB","65-79",4,87581,1,87606,1
"PB","65-79",5,76245,1,76281,0
"PB","65-79",6,67403,0,67451,0
"PB","65-79",7,60064,0,60122,0
"PB","65-79",8,53446,0,53513,0
"PB","65-79",9,48532,0,48605,0
"PB","65-79",10,44801,1,44874,0
"PB","65-79",11,41405,0,41485,0
"PB","65-79",12,38440,0,38524,0
"PB","65-79",13,36202,1,36291,1
"PB","65-79",14,34832,0,34926,0
"PB","65-79",15,33575,0,33673,0
"PB","65-79",16,32528,0,32624,0
"PB","65-79",17,31609,0,31709,0
"PB","65-79",18,31098,0,31198,0
"PB","65-79",19,30677,0,30784,0
"PB","65-79",20,30419,0,30529,0
"PB","65-79",21,30204,0,30320,0
"PB","65-79",22,30026,0,30145,0
"PB","65-79",23,29868,0,29989,0
"PB","65-79",24,29747,0,29869,0
"PB","65-79",25,29650,0,29774,0
"PB","65-79",26,29538,0,29665,1
"PB","65-79",27,29432,1,29562,0
"PB","65-79",28,29382,0,29513,0
"PB","65-79",29,29324,0,29454,0
"PB","65-79",30,29259,0,29392,1
"PB","65-79",31,29240,0,29372,0
"PB","65-79",32,29225,0,29360,0
"PB","65-79",33,29211,0,29350,0
"PB","65-79",34,29202,1,29342,0
"PB","65-79",35,29190,0,29337,0
"PB","65-79",36,29170,0,29316,0
"PB","65-79",37,29164,0,29307,0
"PB","65-79",38,29155,0,29301,0
"PB","65-79",39,29138,0,29286,0
"PB","65-79",40,29125,0,29276,0
"PB","65-79",41,29111,0,29262,0
"PB","65-79",42,29094,1,29248,0
"PB","65-79",43,29068,0,29223,0
"PB","65-79",44,29048,0,29206,0
"PB","65-79",45,29018,1,29180,0
"PB","65-79",46,28940,0,29098,0
"PB","65-79",47,28893,1,29051,0
"PB","65-79",48,28848,0,29009,0
"PB","65-79",49,28791,0,28953,0
"PB","65-79",50,28721,0,28884,0
"PB","65-79",51,28672,0,28830,0
"PB","65-79",52,28628,0,28783,0
"PB","65-79",53,28534,0,28688,0
"PB","65-79",54,27650,1,27802,0
"PB","65-79",55,26617,0,26768,0
"PB","65-79",56,25637,0,25780,0
"PB","65-79",57,24659,0,24795,0
"PB","65-79",58,23816,0,23940,0
"PB","65-79",59,23249,0,23373,0
"PB","65-79",60,22697,0,22816,0
"PB","65-79",61,22212,0,22325,0
"PB","65-79",62,21667,1,21776,0
"PB","65-79",63,21114,0,21217,0
"PB","65-79",64,20625,0,20719,0
"PB","65-79",65,20081,0,20171,0
"PB","65-79",66,19588,0,19673,0
"PB","65-79",67,19258,0,19338,0
"PB","65-79",68,18862,0,18938,0
"PB","65-79",69,18389,0,18455,1
"PB","65-79",70,17908,0,17965,0
"PB","65-79",71,17294,1,17338,1
"PB","65-79",72,16886,0,16914,0
"PB","65-79",73,16473,0,16490,0
"PB","65-79",74,16396,0,16410,0
"PB","65-79",75,16322,0,16330,0
"PB","65-79",76,16266,0,16272,0
"PB","65-79",77,16181,0,16183,0
"PB","65-79",78,16141,0,16141,0
"PB","65-79",79,16099,0,16095,0
"PB","65-79",80,16059,0,16053,0
"PB","65-79",81,16034,0,16027,0
"PB","65-79",82,15987,0,15977,0
"PB","65-79",83,15931,0,15920,0
"PB","65-79",84,13619,0,13607,0
"PB","65-79",85,11594,0,11578,0
"PB","65-79",86,10404,0,10384,0
"PB","65-79",87,9663,0,9634,0
"PB","65-79",88,9217,0,9189,0
"PB","65-79",89,8310,0,8281,0
"PB","65-79",90,7402,0,7376,0
"AZ","80+",1,85832,2,85831,4
"AZ","80+",2,77119,4,77148,1
"AZ","80+",3,70534,1,70603,0
"AZ","80+",4,64587,1,64688,0
"AZ","80+",5,59650,1,59776,1
"AZ","80+",6,55218,1,55376,0
"AZ","80+",7,51450,2,51641,0
"AZ","80+",8,47625,1,47844,0
"AZ","80+",9,44906,0,45154,0
"AZ","80+",10,42792,0,43070,0
"AZ","80+",11,40947,1,41242,0
"AZ","80+",12,39391,2,39712,1
"AZ","80+",13,37824,1,38163,0
"AZ","80+",14,36784,0,37142,1
"AZ","80+",15,35762,1,36132,0
"AZ","80+",16,35017,0,35404,0
"AZ","80+",17,34523,1,34924,0
"AZ","80+",18,34166,1,34577,0
"AZ","80+",19,33885,2,34312,0
"AZ","80+",20,33582,1,34024,0
"AZ","80+",21,33362,1,33814,0
"AZ","80+",22,33167,0,33631,0
"AZ","80+",23,33041,0,33518,1
"AZ","80+",24,32940,0,33420,1
"AZ","80+",25,32864,0,33351,0
"AZ","80+",26,32819,0,33309,0
"AZ","80+",27,32767,1,33261,0
"AZ","80+",28,32707,0,33214,1
"AZ","80+",29,32665,0,33175,0
"AZ","80+",30,32646,0,33162,1
"AZ","80+",31,32636,0,33154,0
"AZ","80+",32,32622,0,33150,0
"AZ","80+",33,32613,0,33142,1
"AZ","80+",34,32598,1,33126,0
"AZ","80+",35,32580,0,33107,0
"AZ","80+",36,32555,0,33091,1
"AZ","80+",37,32535,0,33075,0
"AZ","80+",38,32517,0,33061,0
"AZ","80+",39,32506,1,33054,1
"AZ","80+",40,32496,0,33049,0
"AZ","80+",41,32482,0,33033,1
"AZ","80+",42,32460,0,33020,0
"AZ","80+",43,32436,0,32999,0
"AZ","80+",44,32418,0,32976,0
"AZ","80+",45,32404,0,32959,0
"AZ","80+",46,32390,0,32952,0
"AZ","80+",47,32372,0,32941,1
"AZ","80+",48,32355,1,32930,0
"AZ","80+",49,32323,0,32900,0
"AZ","80+",50,32307,0,32883,0
"AZ","80+",51,32270,0,32855,0
"AZ","80+",52,32252,0,32834,1
"AZ","80+",53,32238,2,32826,0
"AZ","80+",54,32207,0,32799,0
"AZ","80+",55,32153,0,32751,1
"AZ","80+",56,32100,1,32689,1
"AZ","80+",57,32034,0,32632,0
"AZ","80+",58,31998,0,32587,0
"AZ","80+",59,31982,1,32577,0
"AZ","80+",60,31961,1,32553,0
"AZ","80+",61,31899,1,32498,0
"AZ","80+",62,31833,0,32433,0
"AZ","80+",63,31696,0,32305,0
"AZ","80+",64,31573,1,32173,0
"AZ","80+",65,31414,0,32010,0
"AZ","80+",66,31293,0,31889,0
"AZ","80+",67,31200,0,31803,1
"AZ","80+",68,31018,1,31613,0
"AZ","80+",69,30867,1,31456,0
"AZ","80+",70,30679,0,31238,0
"AZ","80+",71,30490,0,31031,0
"AZ","80+",72,30298,0,30822,0
"AZ","80+",73,30168,0,30678,0
"AZ","80+",74,30103,0,30611,0
"AZ","80+",75,29964,1,30459,0
"AZ","80+",76,29814,0,30292,1
"AZ","80+",77,29603,2,30060,0
"AZ","80+",78,29425,0,29870,1
"AZ","80+",79,29244,0,29669,1
"AZ","80+",80,29116,0,29533,0
"AZ","80+",81,29066,0,29481,0
"AZ","80+",82,28837,1,29202,0
"AZ","80+",83,28758,0,29106,0
"AZ","80+",84,25615,0,25939,0
"AZ","80+",85,22791,0,23096,1
"AZ","80+",86,21188,0,21469,1
"AZ","80+",87,20691,0,20967,1
"AZ","80+",88,20642,1,20918,0
"AZ","80+",89,20067,0,20337,0
"AZ","80+",90,18669,1,18936,0
"PB","80+",1,9323,0,9323,0
"PB","80+",2,8153,0,8162,0
"PB","80+",3,7438,0,7452,0
"PB","80+",4,6738,0,6756,0
"PB","80+",5,6169,1,6188,0
"PB","80+",6,5779,0,5803,0
"PB","80+",7,5383,0,5413,0
"PB","80+",8,5052,0,5083,0
"PB","80+",9,4825,0,4857,0
"PB","80+",10,4673,0,4708,0
"PB","80+",11,4546,0,4584,0
"PB","80+",12,4362,0,4404,0
"PB","80+",13,4150,0,4194,0
"PB","80+",14,4053,1,4101,0
"PB","80+",15,3932,1,3978,0
"PB","80+",16,3859,0,3907,0
"PB","80+",17,3795,0,3845,0
"PB","80+",18,3752,0,3800,0
"PB","80+",19,3715,0,3763,0
"PB","80+",20,3702,1,3751,0
"PB","80+",21,3675,0,3724,0
"PB","80+",22,3648,0,3700,0
"PB","80+",23,3629,0,3681,0
"PB","80+",24,3610,0,3666,0
"PB","80+",25,3597,0,3653,0
"PB","80+",26,3592,0,3650,0
"PB","80+",27,3582,0,3645,0
"PB","80+",28,3578,0,3642,0
"PB","80+",29,3572,0,3637,0
"PB","80+",30,3569,0,3635,0
"PB","80+",31,3565,0,3632,0
"PB","80+",32,3564,0,3632,0
"PB","80+",33,3563,0,3632,0
"PB","80+",34,3563,0,3631,0
"PB","80+",35,3563,0,3631,0
"PB","80+",36,3562,0,3628,0
"PB","80+",37,3560,0,3626,0
"PB","80+",38,3559,0,3625,0
"PB","80+",39,3558,0,3625,0
"PB","80+",40,3557,0,3622,0
"PB","80+",41,3557,0,3620,0
"PB","80+",42,3555,0,3620,0
"PB","80+",43,3552,0,3619,0
"PB","80+",44,3550,0,3617,0
"PB","80+",45,3547,0,3616,0
"PB","80+",46,3547,0,3615,0
"PB","80+",47,3547,0,3615,0
"PB","80+",48,3546,0,3613,0
"PB","80+",49,3545,0,3612,0
"PB","80+",50,3545,0,3610,0
"PB","80+",51,3543,0,3610,0
"PB","80+",52,3542,0,3610,0
"PB","80+",53,3541,0,3609,0
"PB","80+",54,3539,0,3606,0
"PB","80+",55,3536,0,3602,0
"PB","80+",56,3536,0,3602,0
"PB","80+",57,3535,0,3602,0
"PB","80+",58,3535,0,3599,0
"PB","80+",59,3535,0,3598,0
"PB","80+",60,3533,0,3594,0
"PB","80+",61,3529,0,3592,0
"PB","80+",62,3526,0,3590,0
"PB","80+",63,3522,0,3585,0
"PB","80+",64,3518,0,3581,0
"PB","80+",65,3515,0,3577,0
"PB","80+",66,3512,0,3571,0
"PB","80+",67,3510,0,3568,0
"PB","80+",68,3509,0,3566,0
"PB","80+",69,3507,0,3563,0
"PB","80+",70,3505,0,3561,0
"PB","80+",71,3503,0,3559,0
"PB","80+",72,3488,0,3541,0
"PB","80+",73,3480,0,3534,0
"PB","80+",74,3471,0,3524,0
"PB","80+",75,3459,0,3506,0
"PB","80+",76,3454,0,3501,0
"PB","80+",77,3448,0,3496,0
"PB","80+",78,3439,0,3486,0
"PB","80+",79,3437,0,3482,0
"PB","80+",80,3432,0,3480,0
"PB","80+",81,3425,0,3473,0
"PB","80+",82,3400,0,3442,0
"PB","80+",83,3394,0,3431,0
"PB","80+",84,3311,0,3346,0
"PB","80+",85,3236,0,3271,0
"PB","80+",86,3217,0,3253,0
"PB","80+",87,3209,0,3245,0
"PB","80+",88,3158,0,3192,0
"PB","80+",89,3091,0,3125,0
"PB","80+",90,2942,0,2978,0
